AADFYear,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_km,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","16605","Counted","Manual count","North East","Durham","A68","PA","407700","550000","A692","LA Boundary","1.60",".99000000000000000","1","19","2750","17","407","178","38","14","34","66","29","359","3552"
"2000","16606","Estimated","Estimated using previous year's AADF on this link","North East","Durham","A68","PA","418000","526300","A688","Front St",".20",".12000000000000000","6","46","12486","206","1669","471","99","41","28","84","46","769","15176"
"2000","16607","Estimated","Estimated using previous year's AADF on this link","North East","Darlington","A68","PA","428000","515050","Bondgate","B6279","1.40",".87000000000000000","136","101","17206","416","1637","261","24","18","23","20","9","355","19715"
"2000","16610","Estimated","Estimated using previous year's AADF on this link","North East","Newcastle upon Tyne","A191","PA","420050","565200","B1311","A186",".40",".25000000000000000","51","67","7242","411","1041","187","9","10","10","6","12","234","8995"
"2000","16660","Estimated","Estimated using previous year's AADF on this link","North East","Stockton-on-Tees","A135","PA","442308","514998","A67","A135 Concorde Way","4.00","2.49000000000000000","109","108","13064","222","1194","257","18","18","20","25","7","345","14933"
"2000","16702","Estimated","Estimated using previous year's AADF on this link","North East","Durham","A167","TA","426000","543000","A690","A691","2.00","1.24000000000000000","99","232","21745","224","2355","529","118","60","86","83","62","938","25494"
"2000","16711","Estimated","Estimated using previous year's AADF on this link","North East","Middlesbrough","A174","TA","447570","514990","A19","A1044","1.50",".93000000000000000","9","185","35974","201","3526","853","182","239","131","539","346","2290","42176"
"2000","16712","Counted","Manual count","North East","Redcar and Cleveland","A174","PA","457782","520013","A1053","A1042","2.90","1.80000000000000000","79","296","29567","227","2884","748","87","71","63","160","126","1255","34229"
"2000","16716","Estimated","Estimated using previous year's AADF on this link","North East","Durham","A181","PA","430000","542300","Dragon Lane","B1283",".60",".37000000000000000","67","80","12286","248","1307","171","42","32","31","28","15","319","14240"
"2000","16717","Counted","Manual count","North East","Sunderland","A182","PA","430000","555400","A195","A1231","1.60",".99000000000000000","5","139","24571","243","2270","530","56","36","72","118","64","876","28099"
"2000","16718","Estimated","Estimated using previous year's AADF on this link","North East","Durham","A182","PA","440000","543830","Unclassified Road","A19/B1283 Hall Walks","2.60","1.62000000000000000","14","44","5615","94","678","92","18","28","11","28","35","212","6643"
"2000","16719","Estimated","Estimated using previous year's AADF on this link","North East","Sunderland","A183","PA","439000","556702","A183 The Royalty","A1231",".40",".25000000000000000","66","45","8729","690","1023","161","9","5","9","4","0","188","10675"
"2000","16720","Counted","Manual count","North East","North Tyneside","A186","PA","429500","566970","A193","A1058","1.20",".75000000000000000","91","41","8584","188","743","198","10","11","7","17","11","254","9810"
"2000","16722","Estimated","Estimated using previous year's AADF on this link","North East","Newcastle upon Tyne","A188","PA","427140","566000","A193","A1058","1.40",".87000000000000000","130","37","13536","279","1961","318","25","29","11","9","0","392","16205"
"2000","16723","Estimated","Estimated using previous year's AADF on this link","North East","Northumberland","A189","PA","427760","578600","A1061","A192",".90",".56000000000000000","12","146","17678","62","2630","550","81","237","114","221","128","1331","21847"
"2000","16724","Estimated","Estimated using previous year's AADF on this link","North East","Newcastle upon Tyne","A189","PA","425000","567140","B1318","A191","1.70","1.06000000000000000","124","147","21426","474","1674","402","26","36","13","23","28","528","24249"
"2000","16725","Estimated","Estimated using previous year's AADF on this link","North East","North Tyneside","A191","PA","430200","569850","Chollerton Drive roundabout","A19","1.60",".99000000000000000","114","91","15690","198","2542","409","59","66","38","50","69","691","19212"
"2000","16726","Estimated","Estimated using previous year's AADF on this link","North East","Northumberland","A192","PA","420100","585700","A197","A197",".50",".31000000000000000","70","108","24041","317","2919","356","84","35","39","19","13","546","27931"
"2000","16728","Estimated","Estimated using previous year's AADF on this link","North East","North Tyneside","A192","PA","433000","572200","A1148","A186",".90",".56000000000000000","96","106","16478","163","1509","183","8","7","7","4","7","216","18472"
"2000","16729","Counted","Manual count","North East","Northumberland","A193","PA","431620","580000","A1061","B1327","1.20",".75000000000000000","47","64","10250","197","1111","133","16","1","14","8","3","175","11797"
"2000","16730","Counted","Manual count","North East","North Tyneside","A193","PA","435200","568500","A1149","A192",".50",".31000000000000000","113","81","10826","211","1012","124","6","2","11","3","2","148","12278"
"2000","16731","Estimated","Estimated using previous year's AADF on this link","North East","North Tyneside","A193","PA","434000","568000","A187","A1108","1.80","1.12000000000000000","105","42","6956","131","886","167","31","0","4","4","1","207","8222"
"2000","16732","Estimated","Estimated using previous year's AADF on this link","North East","Northumberland","A196","PA","425000","585040","West Avenue","A0168",".50",".31000000000000000","45","69","5968","57","733","134","15","12","3","24","0","188","7015"
"2000","16734","Estimated","Estimated using previous year's AADF on this link","North East","Northumberland","A197","PA","430000","588860","A189","B1334","2.20","1.37000000000000000","24","12","2982","78","328","46","8","10","2","0","0","66","3466"
"2000","17407","Estimated","Estimated using previous year's AADF on this link","North East","Northumberland","A686","PA","385000","564300","B6295","A69(T)","4.40","2.73000000000000000","12","16","1006","16","151","45","7","1","9","4","0","66","1255"
"2000","17409","Counted","Manual count","North East","Durham","A688","PA","419787","527277","A68/Front St","A6072","3.00","1.86000000000000000","85","62","10153","241","1562","336","52","23","42","67","28","548","12566"
"2000","17410","Estimated","Estimated using previous year's AADF on this link","North East","Durham","A689","PA","385620","540000","B6295","B6278","16.10","10.00000000000000000","5","8","518","16","128","48","40","13","11","3","0","115","785"
"2000","17412","Counted","Manual count","North East","Hartlepool","A689","PA","450000","528900","High St, Greatham","A178 Nr Hartlepool Bay","5.10","3.17000000000000000","45","175","21312","211","2512","860","177","120","111","390","231","1889","26099"
"2000","17413","Estimated","Estimated using previous year's AADF on this link","North East","Durham","A690","PA","427000","542670","Crossgate/Margery Lane","A691",".70",".43000000000000000","50","86","14177","105","1191","241","78","51","27","25","29","451","16010"
"2000","17414","Estimated","Estimated using previous year's AADF on this link","North East","Sunderland","A690","PA","434300","549800","A1052","A182 Hillside Way",".40",".25000000000000000","3","50","15203","59","1545","498","68","134","75","170","56","1001","17858"
"2000","17415","Estimated","Estimated using previous year's AADF on this link","North East","Durham","A691","PA","427000","543000","A167(T)","A690","1.80","1.12000000000000000","63","178","26216","313","2292","339","41","31","35","38","52","536","29535"
"2000","17416","Counted","Manual count","North East","Durham","A692","PA","410000","550200","A68","B6308 Delves Lane, Consett","3.80","2.36000000000000000","23","71","9308","158","1093","212","32","93","18","35","18","408","11038"
"2000","17418","Counted","Manual count","North East","Durham","A693","PA","420000","553100","A6076","C-road East Stanley","1.50",".93000000000000000","20","138","12789","399","1600","305","61","60","63","91","39","619","15545"
